SiteType,FGUnite,GSC
1,"shrub,subshrub",
2,"shrub,subshrub",
,"PG,PG,shrub",
,"PG,PG,PG",
,"PG,PG,succulent",
,"PG,subshrub,PG",
,"PG,PG",
,"PG,PG,subshrub",
,"PG,succulent,shrub",
,"PG,shrub,succulent",
,"PG,succulent,PG",
,"succulent,PG,subshrub",
,"shrub,shrub,shrub",
,"shrub,shrub,PG",
,"shrub,shrub,subshrub",
,"shrub,PG,PG",
,"subshrub,PG,PG",
,"subshrub,PG,shrub",
,"subshrub,shrub",
,"subshrub,shrub,PG",
,"subshrub,shrub,shrub",
,"subshrub,succulent",
,"forb,Bare",
,"shrub,PG",
,"shrub,shrub,tree",
,"shrub,subshrub,shrub",
,"PG,shrub,shrub",
,"shrub,shrub,succulent",
,"shrub,PG,subshrub",
,"shrub,subshrub,PG",
,"shrub,subshrub,succulent",
,"shrub,succulent,subshrub",
,shrub,
,PG,
,Bare,
,subshrub,
,"shrub,PG,shrub",
,"shrub,subshrub,Inv",
,"subshrub,PG,succulent",
,"shrub,shrub",
,"PG,shrub,PG",
,"shrub,succulent,PG",
,"shrub,forb,shrub",
,"subshrub,shrub,succulent",
,"succulent,shrub",
,"succulent,shrub,succulent",
,"Inv,PG,succulent",
,"PG,shrub",
,"shrub,PG,succulent",
,"shrub,succulent,Inv",
,"shrub,succulent,shrub",
,"PG,subshrub,shrub",
,"PG,succulent",
,"succulent,shrub,subshrub",
,"shrub,succulent,succulent",
,"succulent,succulent,shrub",
,,
,"annuals,succulent,shrub",
,"shrub,PG,PF",
,"AG,PG,shrub",
,"AG,shrub,shrub",
,succulent,
,"PG,shrub,subshrub",
,annuals,
,"shrub,subshrub",
,"PG,PG,shrub",
,"PG,PG,PG",
,"PG,PG,succulent",
,"PG,subshrub,PG",
,"PG,PG",
,"PG,PG,subshrub",
,"PG,succulent,shrub",
,"PG,shrub,succulent",
,"PG,succulent,PG",
,"succulent,PG,subshrub",
,"shrub,shrub,shrub",
,"shrub,shrub,PG",
,"shrub,shrub,subshrub",
,"shrub,PG,PG",
,"subshrub,PG,PG",
,"subshrub,PG,shrub",
,"subshrub,shrub",
,"subshrub,shrub,PG",
,"subshrub,shrub,shrub",
,"subshrub,succulent",
,"forb,Bare",
,"shrub,PG",
,"shrub,shrub,tree",
,"shrub,subshrub,shrub",
,"PG,shrub,shrub",
,"shrub,shrub,succulent",
,"shrub,PG,subshrub",
,"shrub,subshrub,PG",
,"shrub,subshrub,succulent",
,"shrub,succulent,subshrub",
,shrub,
,PG,
,Bare,
,subshrub,
,"shrub,PG,shrub",
,"shrub,subshrub,Inv",
,"subshrub,PG,succulent",
,"shrub,shrub",
,"PG,shrub,PG",
,"shrub,succulent,PG",
,"shrub,forb,shrub",
,"subshrub,shrub,succulent",
,"succulent,shrub",
,"succulent,shrub,succulent",
,"Inv,PG,succulent",
,"PG,shrub",
,"shrub,PG,succulent",
,"shrub,succulent,Inv",
,"shrub,succulent,shrub",
,"PG,subshrub,shrub",
,"PG,succulent",
,"succulent,shrub,subshrub",
,"shrub,succulent,succulent",
,"succulent,succulent,shrub",
,,
,"annuals,succulent,shrub",
,"shrub,PG,PF",
,"AG,PG,shrub",
,"AG,shrub,shrub",
,succulent,
,"PG,shrub,subshrub",
,annuals,
