"GeneralizedStateNumber","FGUnite"
1,"PG"
1,"PG,PG"
1,"PG,PG,PG"
2,"annuals"
2,"annuals,PG,PG"
2,"PG"
2,"PG,PG"
2,"PG,PG,PG"
2,"PG,PG,subshrub"
2,"PG,PG,PG"
3,"PG,PG,PG"
3,"PG,shrub,PG"
4,"PG,PG,shrub"
4,"PG,shrub"
4,"shrub,PG"
4,"shrub,PG,PG"
4,"shrub,shrub,shrub"
5,"shrub,PG"
5,"shrub,shrub,PG"
6,"PG,PG"
6,"shrub"
6,"shrub,PG"
6,"shrub,PG,PG"
6,"shrub,shrub"
6,"shrub,shrub,shrub"
6,"subshrub,PG"
7,""
9,"Inv"
1,"PG"
1,"PG,PG,shrub"
1,"PG,PG,succulent"
1,"PG,shrub"
1,"PG,shrub,PG"
1,"PG,shrub,shrub"
1,"PG,shrub,succulent"
1,"PG,succulent"
1,"PG,succulent,shrub"
1,"shrub"
2,"AG,PG,shrub"
2,"annuals"
2,"annuals,succulent,shrub"
2,"PG"
2,"PG,PG"
2,"PG,PG,shrub"
2,"PG,shrub"
2,"PG,shrub,PG"
2,"PG,shrub,shrub"
2,"PG,shrub,succulent"
2,"PG,subshrub,PG"
2,"PG,subshrub,shrub"
2,"PG,succulent"
2,"PG,succulent,shrub"
2,"shrub"
2,"shrub,PG"
2,"shrub,PG,PF"
2,"shrub,PG,PG"
2,"shrub,subshrub,PG"
2,"subshrub"
2,"succulent"
4,"PG"
4,"PG,PG"
4,"PG,PG,PG"
4,"PG,PG,shrub"
4,"PG,shrub"
4,"PG,shrub,PG"
4,"PG,shrub,shrub"
4,"PG,shrub,subshrub"
4,"PG,shrub,succulent"
4,"shrub"
4,"shrub,PG"
4,"shrub,PG,PF"
4,"shrub,PG,PG"
4,"shrub,PG,shrub"
4,"shrub,PG,subshrub"
4,"shrub,PG,succulent"
4,"shrub,shrub,PG"
4,"shrub,subshrub,PG"
4,"shrub,subshrub,succulent"
5,"PG,shrub,succulent"
5,"shrub,PG,shrub"
5,"shrub,shrub,PG"
6,"AG,shrub,shrub"
6,"shrub"
6,"shrub,PG"
6,"shrub,PG,PG"
6,"shrub,PG,succulent"
6,"shrub,shrub"
6,"shrub,shrub,PG"
6,"shrub,subshrub"
6,"shrub,subshrub,PG"
6,"shrub,subshrub,shrub"
6,"succulent"
7,"PG,PG"
7,"PG,shrub"
7,"PG,shrub,shrub"
7,"shrub,shrub"
9,"Inv,PG,succulent"
1,"annuals"
1,"PG,PG"
1,"PG,subshrub,PG"
2,"PG,PG,PG"
2,"PG,PG,succulent"
2,"PG,shrub,subshrub"
2,"shrub,PG,subshrub"
2,"shrub,PG,succulent"
2,"shrub,shrub,PG"
2,"shrub,subshrub"
4,"AG,PG,shrub"
4,"annuals,succulent,shrub"
4,"Inv,PG,succulent"
4,"PG,subshrub,shrub"
4,"PG,succulent"
4,"PG,succulent,shrub"
4,"shrub,shrub"
4,"shrub,subshrub,shrub"
4,"subshrub"
4,"succulent"
5,"AG,shrub,shrub"
5,"shrub"
5,"shrub,shrub"
5,"succulent"
6,"PG"
6,"PG,PG,shrub"
6,"PG,shrub,PG"
6,"PG,shrub,succulent"
6,"shrub,PG,shrub"
6,"shrub,subshrub,succulent"
7,"PG"
7,"PG,PG,shrub"
7,"PG,shrub,PG"
7,"PG,succulent"
7,"shrub,PG,PF"
7,"shrub,shrub,PG"
0,"AG,PG,shrub"
0,"AG,shrub,shrub"
0,"annuals,succulent,shrub"
0,"PG"
0,"PG,shrub"
0,"PG,shrub,PG"
0,"PG,shrub,succulent"
0,"PG,succulent,shrub"
0,"shrub"
0,"shrub,PG"
0,"shrub,PG,PF"
0,"shrub,PG,PG"
0,"shrub,PG,shrub"
0,"shrub,PG,subshrub"
0,"shrub,PG,succulent"
0,"shrub,shrub"
0,"shrub,shrub,PG"
0,"shrub,subshrub,PG"
0,"shrub,subshrub,shrub"
0,"succulent"
1,"PG,PG,PG"
1,"PG,shrub,subshrub"
1,"shrub,PG,PG"
1,"shrub,subshrub,PG"
2,"shrub,PG,shrub"
2,"shrub,shrub"
2,"shrub,subshrub,succulent"
4,"PG,PG,succulent"
4,"PG,subshrub,PG"
4,"shrub,subshrub"
6,"AG,PG,shrub"
6,"Inv,PG,succulent"
6,"PG,PG"
6,"PG,shrub"
6,"PG,shrub,shrub"
6,"PG,subshrub,shrub"
6,"shrub,PG,PF"
7,"annuals"
7,"PG,succulent,shrub"
7,"shrub,PG"
7,"shrub,PG,PG"
7,"subshrub"
