OBJECTID1998,VegUnite,ecosite1,ecosite2,ecosite3,GeneralizedStateNumber,SiteName
37,"PLMU3,SCBR2,FLCE",Clayey,Bottomland,Loamy,2,Clayey
38,"PLMU3,SCBR2,PRGL2",Clayey,Bottomland,Loamy,4,Clayey
41,"PRGL2,PLMU3,SCBR2",Clayey,Bottomland,Loamy,4,Bottomland
133,"LATR2,FLCE,MUPO2",Gravelly,Shallow sandy, ,5,Gravelly
137,"LATR2,FLCE,MUPO2",Gravelly,Shallow sandy, ,5,Gravelly
177,"BOER4,SPFL2,PRGL2",Sandy,Deep sand, ,4,Sandy
208,"PRGL2,SPFL2,YUEL",Sandy,Deep sand, ,4,Sandy
225,"PRGL2,GUSA2,YUEL",Sandy,Deep sand, ,6,Sandy
232,"PRGL2,SPFL2,YUEL",Sandy,Deep sand, ,4,Sandy
252,"SPFL2,GUSA2,PRGL2",Sandy,Deep sand, ,2,Sandy
257,"BOER4,PRGL2,YUEL",Sandy,Deep sand,Shallow sandy,1,Sandy
258,"BOER4,SPFL2,PRGL2",Sandy,Deep sand,Shallow sandy,1,Sandy
267,"PRGL2,SPFL2,YUEL",Sandy,Deep sand,Shallow sandy,4,Sandy
277,"PRGL2,GUSA2,YUEL",Sandy,Deep sand,Shallow sandy,6,Sandy
280,"SPFL2,GUSA2,PRGL2",Sandy,Deep sand,Shallow sandy,2,Sandy
297,"PLMU3,SCBR2,PRGL2",Sandy,Loamy,Clayey,4,Clayey
321,"PLMU3,SCBR2,FLCE",Sandy,Loamy,Deep sand,2,Loamy
341,"PRGL2,SPFL2,YUEL",Sandy,Loamy,Deep sand,4,Sandy
354,"PRGL2,FLCE,LATR2",Sandy,Loamy,Deep sand,6,Loamy
359,"PRGL2,SPFL2,YUEL",Sandy,Loamy,Deep sand,4,Sandy
387,"SPFL2,GUSA2,PRGL2",Sandy,Loamy,Deep sand,2,Sandy
390,"BOER4,ARPU9,YUEL",Sandy,Shallow sandy, ,1,Shallow sandy
391,"BOER4,PRGL2,YUEL",Sandy,Shallow sandy, ,1,Sandy
393,"BOER4,SPFL2,PRGL2",Sandy,Shallow sandy, ,1,Sandy
417,"BOER4,PRGL2,YUEL",Shallow sandy,Sandy, ,1,Sandy
418,"BOER4,SPFL2,PRGL2",Shallow sandy,Sandy, ,1,Sandy
423,"PRGL2,SPFL2,YUEL",Shallow sandy,Sandy, ,4,Sandy
431,"PRGL2,SPFL2,YUEL",Shallow sandy,Sandy, ,4,Sandy
