FID,OBJECTID,ecosite1,ecosite2,ecosite3,VegUnite,esite1type,esite2type,esite3type,GeneralizedStateNumber
1,2,Bottomland,Limy,Salt Flats,"ATCA2,PRGL2,PLMU3",1,1,1,4
2,3,Bottomland,Limy,Salt Flats,"Bare, , ",1,1,1,7
22,23,Clayey,Bottomland,Loamy,"Bare, , ",1,1,1,7
28,29,Clayey,Bottomland,Loamy,"GUSA2,BOER4,YUEL",1,1,1,2
50,51,Clayey,Bottomland,Loamy,"PSSC6,YUEL,SPFL2",1,1,1,2
59,60,Deep sand,Sandy,Shallow sandy,"ARFI2,PRGL2,ARPU9",2,1,1,5
60,61,Deep sand,Sandy,Shallow sandy,"DAFO,LATR2,COWA",2,1,1,5
61,62,Deep sand,Sandy,Shallow sandy,"DAFO,LATR2,PAIN2",2,1,1,5
62,63,Deep sand,Sandy,Shallow sandy,"DAFO,PAIN2,LATR2",2,1,1,3
84,85,Deep sand,Shallow sandy, ,"GUSA2,PRGL2,YUEL",2,1,NA,6
91,92,Deep sand,Shallow sandy, ,"YUEL,PRGL2, ",2,1,NA,6
93,94,Deep sand,Shallow sandy,Shallow sandy,"GUSA2,PRGL2,YUEL",2,1,1,6
97,98,Deep sand,Shallow sandy,Shallow sandy,"YUEL,PRGL2, ",2,1,1,6
98,99,Draw,No ecosite, ,"ARFI2,PRGL2,ARPU9",1,NA,NA,4
99,100,Draw,No ecosite, ,"DAFO,PAIN2,LATR2",1,NA,NA,4
141,142,Limestone hills,No ecosite, ,"ARFI2,PRGL2,ARPU9",2,NA,NA,6
142,143,Limestone hills,No ecosite, ,"DAFO,LATR2,COWA",2,NA,NA,6
143,144,Limestone hills,No ecosite, ,"DAFO,LATR2,PAIN2",2,NA,NA,6
144,145,Limestone hills,No ecosite, ,"DAFO,PAIN2,LATR2",2,NA,NA,3
173,174,Sandy,Deep sand, ,"ATCA2,FLCE,PRGL2",1,2,NA,6
177,178,Sandy,Deep sand, ,"EPHEDRA,PRGL2,YUEL",1,2,NA,6
178,179,Sandy,Deep sand, ,"EPHEDRA,PRGL2,YUEL",1,2,NA,6
183,184,Sandy,Deep sand, ,"GUSA2,BOER4,YUEL",1,2,NA,1
184,185,Sandy,Deep sand, ,"GUSA2,SPFL2,PRGL2",1,2,NA,4
237,238,Sandy,Deep sand, ,"PSSC6,PRGL2,ARFI2",1,2,NA,6
238,239,Sandy,Deep sand, ,"PSSC6,PRGL2,GUSA2",1,2,NA,6
239,240,Sandy,Deep sand, ,"PSSC6,SPFL2,YUEL",1,2,NA,4
253,254,Sandy,Deep sand, ,"YUEL,PRGL2,GUSA2",1,2,NA,6
254,255,Sandy,Deep sand, ,"YUEL,PRGL2, ",1,2,NA,6
280,281,Sandy,Deep sand,Shallow sandy,"YUEL,PRGL2,GUSA2",1,2,1,6
281,282,Sandy,Deep sand,Shallow sandy,"YUEL,PRGL2, ",1,2,1,6
298,299,Sandy,Loamy,Deep sand,"Bare, , ",1,1,2,7
300,301,Sandy,Loamy,Deep sand,"EPHEDRA,YUEL,PRGL2",1,1,2,6
301,302,Sandy,Loamy,Deep sand,"EPHEDRA,PRGL2,YUEL",1,1,2,6
363,364,Sandy,Loamy,Deep sand,"PSSC6,SPFL2,YUEL",1,1,2,4
364,365,Sandy,Loamy,Deep sand,"PSSC6,YUEL,SPFL2",1,1,2,4
414,415,Sandy,Shallow sandy, ,"YUEL,PRGL2, ",1,1,NA,6
